"X1","X2","X3","X4","X5"
"r.o.t.c","everett","algeria","mosul","saladin"
"manhattan","vietnam's","attacked","gaza","pakhtunkhwa"
"selective","spinks","india","kirkuk","posited"
"draft","rockford","colombia","yala","isil"
"rican","review","pastrana","diyala","haram"
"estimated","reed","kosovo","ninawa","donetsk"
"iowa","marjorie","samper's","strip","hartal"
"firebombed","donald","farewells","shi","huthis"
"rico","simmons","classic","pattani","luhansk"
"school","glory","injuring","kandahar","borno"
"vietnam","dallas","angola","spying","derna"
"kill","beseda","ireland","struck","arish"
"intimidate","toledo","planted","khost","aqap"
"movement","plans","extremists","basra","sirte"
"mexican","nicaraguan","term","qa","amanat"
"colorado","contras","handing","ida","asimah"
"ohio","nicaragua","elect","aqlim","sabha"
"exploitation","ltte","algerian","frequency","maiduguri"
"protesting","ocala","gia","somali","zuweid"
"united","holman","republican","widely","giza"
"protest","exaggerated","road","khan","garo"
"casualties","csa","guerrillas","din","ips"
"perpetrators","brockhoeft","wounding","administered","homs"
"building","ashley","pakistan","coalition","albu"
"damages","sinhalese","gunmen","federally","shebelle"
